,D.O,pH,CONDUCTIVITY,B.O.D.,NITRATE,COLIFORM
"""CAUVERY NAPOKULU""",6.9,7.5,59,1,0.14,1600
"""CAUVERY AT KUSHAL NAGAR """,7,7.8,93,1,0.13,1600
"""CAUVERY AT KRS DAM""",7,8.5,235,1,0.31,1600
"""CAUVERY AT KAREKUARA""",6.9,8.5,243,1,0.33,1600
"""CAUVERY AT SRIRANGAPATTANNA.""",6.1,8.1,280,1.6,0.38,1600
"""CAUVERY AT SATHYAGALAM """,7.6,8.1,336,1,0.46,1600
"""CAUVERY AT BANNUR """,7,8.1,331,1.3,0.39,1600
"""CAUVERY AT RANGANATHITTU""",6.7,8.1,277,1.1,0.35,1600
"""CAUVERY AT METTUR""",6.5,8.1,417,1.5,0.2,334
"""CAUVERY AT BHAVANI """,6.2,8,475,1.1,0.25,324
"""CAUVERY AT PALLIPPALAYAM""",6.7,7.9,425,1.2,0.2,543
"""CAUVERY AT ERODE""",5.6,7.7,475,1.7,0.25,673
"""CAUVERY AT VELORE """,6.9,7.9,442,1.3,0.17,347
"""CAUVERY AT KARUR""",7.4,8.2,727,1.2,0.22,323
"""CAUVERY AT MOHANUR """,6.8,7.8,500,1.3,0.16,368
"""CAUVERY AT THIRUMUKKUDALI""",6.5,8.1,635,0.8,0.17,325
"""CAUVERY AT MUSIRI""",8,8.1,598,0.9,0.18,303
"""CAUVERY AT Trichy""",7.6,7.8,670,0.9,0.23,305
"""CAUVERY AT GRAND ANAICUT""",6.4,8.1,752,1.9,0.2,503
"""CAUVERY AT THANJAVUR""",6.5,8,657,1.3,0.21,317
"""CAUVERY AT MAYILADUTHURAI""",6.8,8.1,576,1.9,0.22,319
"""CAUVERY AT NAMAKAL""",6.4,7.8,431,1.3,0.25,348
"""CAUVERY AT URRACHIKOTTAI""",5.8,7.9,290,1.2,0.19,288
"""CAUVERY AT VAIRAPALAYAM""",6.9,7.8,399,1.9,0.21,352
"""CAUVERY AT KUMBAKONAM,THANJAVUR""",7,8.1,513,1.7,0.22,864
"""CAUVERY AT COLEROON""",8.1,8,1133,0.8,0.2,303
"""CAUVERY AT PITCHAVARAM""",7.8,8.1,1073,1.6,0.16,288
"""SHIMSHA AT YEDIYAR""",6.7,7.5,571,2.5,1.38,39
"""SHIMSHA AT HALAGUR""",7.1,8.3,556,1,0.71,1600
"""ARKAVATHI AT  KANAKAPURATOWN""",3.7,7.7,1000,2.1,21.34,70
"""ARKAVATHI AT T.G. HALLI """,6.1,8.2,934,3.6,3.37,54
"""ARKAVATHI AT HESARAGHATTA""",9.9,9.6,545,2.5,5.76,18
"""LAKSHMANTIRTHA AT HUNSUR TOWN""",4.5,7.6,502,3,0.74,1600
"""LAKSHMANTIRTHA AT KATTEMALAVADI""",4.3,7.8,557,2.7,0.96,1600
"""KABBANI AT MUTHANKARA""",6.7,7,76,0.7,0.32,435
"""KABBANI AT SARAGUR """,6.8,8.1,146,1,0.17,1600
"""KABBANI AT CAUSE WAY""",6.9,8,282,1,0.35,1600
"""KABBANI AT NANJANGUD""",7.4,8,295,1,0.36,1600
"""KABINI AT BATHING GHAT""",5.8,7.6,277,1.9,0.43,1600
"""BHAVANI AT ELACHIVAZHY""",7.1,7.3,110,0.4,0.31,315
"""BHAVANI AT PATHIRAKALIAMMAN KOIL""",8.1,8.1,276,0.8,0.29,220
"""BHAVANI AT SIRUMUGAI""",8,8,193,0.9,0.18,219
"""BHAVANI AT BHAVANI SAGAR""",6.7,8,255,1,0.18,285
"""BHAVANI AT BHAVANI""",5.9,8,343,1.3,0.17,348
"""BHAVANI AT  SATHYAMANGALAM""",6.7,7.9,237,0.9,0.16,278
"""AMRAVATI AT MADHUTHUKKULAM""",7.6,7.9,186,1,0.15,211
"""KALINGARAYAN CANAL , ERODE""",5.8,8,423,1.3,0.26,289
"""SARABANGA AT SALEM""",2.9,7.6,3413,35,0.43,306750
"""THIRUMANIMUTHAR AT SALEM""",2,7.5,2306,40.3,0.51,351617
"""TAMBIRAPARANI AT  MADURACOATS""",7.4,7.6,104,1.2,0.09,94
"""TAMBIRAPARANI ATCHERANMADEVI""",7.1,7.7,103,1.2,0.21,131
"""TAMBIRAPARANI AT TIRUNELVELI,.""",6.4,7.7,140,2,0.16,368
"""TAMBIRAPARANI AT MURAPPANADU""",6.6,7,342,1.3,0.11,103
"""TAMBIRAPARANI ATPAPPANKULAM""",7.2,7.7,87,1.1,0.14,113
"""TAMBIRAPARANI AT AMBASAMUDAM""",7.2,7.5,88,1.1,0.12,96
"""TAMBIRAPARANI AT ARUMUGANERI""",6.9,7.6,787,3.2,0.14,178
"""TAMBIRAPARANI AT ERAL""",6.9,7.2,338,1.3,0.13,135
"""TAMBIRAPARANI AT KALLIDAI KURICHI""",7.6,7.6,86,1.7,0.1,103
"""TAMBIRAPARANI AT SRIVAIKUNTAM""",6.4,7,264,1.3,0.13,160
"""TAMBIRAPARANI AT VELLAKOIL""",6.2,7.6,170,1.8,0.23,277
"""TAMBIRAPARANI AT SIVALAPERI""",6.3,7.6,200,2,1.42,298
